Created with UCDetector 1.10.0	2013-01-22 00:16:44	http://www.ucdetector.org/	
it.d4nguard.comicsimporter.ComicsImporter.comicsToXml(ComicsImporter.java:69)	Change visibility of Method "ComicsImporter.comicsToXml(Comics)" to default	ComicsImporter.comicsToXml(Comics)	org.ucdetector.analyzeMarkerVisibilityDefault	
it.d4nguard.comicsimporter.ComicsImporter.importComics(ComicsImporter.java:116)	Method "ComicsImporter.importComics()" has 0 references	ComicsImporter.importComics()	org.ucdetector.analyzeMarkerReference	
it.d4nguard.comicsimporter.ComicsImporter.importComics(ComicsImporter.java:121)	Change visibility of Method "ComicsImporter.importComics(int)" to default	ComicsImporter.importComics(int)	org.ucdetector.analyzeMarkerVisibilityDefault	
it.d4nguard.comicsimporter.ComicsImporter.useCache(ComicsImporter.java:208)	Change visibility of Method "ComicsImporter.useCache()" to private	ComicsImporter.useCache()	org.ucdetector.analyzeMarkerVisibilityPrivate	
it.d4nguard.comicsimporter.Configuration.load(Configuration.java:108)	Change visibility of Method "Configuration.load(String[])" to default	Configuration.load(String[])	org.ucdetector.analyzeMarkerVisibilityDefault	
it.d4nguard.comicsimporter.Configuration.printCliHelp(Configuration.java:136)	Change visibility of Method "Configuration.printCliHelp(int)" to private	Configuration.printCliHelp(int)	org.ucdetector.analyzeMarkerVisibilityPrivate	
it.d4nguard.comicsimporter.Configuration.getShortOpt(Configuration.java:187)	Change visibility of Method "Configuration.getShortOpt(String,CommandLine)" to private	Configuration.getShortOpt(String,CommandLine)	org.ucdetector.analyzeMarkerVisibilityPrivate	
it.d4nguard.comicsimporter.Configuration.getConfigValue(Configuration.java:205)	Change visibility of Method "Configuration.getConfigValue(String,Class<T>,Properties,CommandLine)" to private	Configuration.getConfigValue(String,Class<T>,Properties,CommandLine)	org.ucdetector.analyzeMarkerVisibilityPrivate	
it.d4nguard.comicsimporter.Configuration.removePrefix(Configuration.java:347)	Change visibility of Method "Configuration.removePrefix(String)" to private	Configuration.removePrefix(String)	org.ucdetector.analyzeMarkerVisibilityPrivate	
it.d4nguard.comicsimporter.Configuration.HOME(Configuration.java:22)	Change visibility of Constant "Configuration.HOME" to private	Configuration.HOME	org.ucdetector.analyzeMarkerVisibilityPrivate	
it.d4nguard.comicsimporter.Configuration.LS(Configuration.java:23)	Constant "Configuration.LS" has 0 references	Configuration.LS	org.ucdetector.analyzeMarkerReference	
it.d4nguard.comicsimporter.Configuration.FS(Configuration.java:24)	Change visibility of Constant "Configuration.FS" to default	Configuration.FS	org.ucdetector.analyzeMarkerVisibilityDefault	
it.d4nguard.comicsimporter.Configuration.MANGA_XML(Configuration.java:25)	Change visibility of Constant "Configuration.MANGA_XML" to private	Configuration.MANGA_XML	org.ucdetector.analyzeMarkerVisibilityPrivate	
it.d4nguard.comicsimporter.Configuration.COMICSIMPORTER_DIR(Configuration.java:26)	Change visibility of Constant "Configuration.COMICSIMPORTER_DIR" to private	Configuration.COMICSIMPORTER_DIR	org.ucdetector.analyzeMarkerVisibilityPrivate	
it.d4nguard.comicsimporter.Configuration.CONFIG_DIR(Configuration.java:27)	Change visibility of Constant "Configuration.CONFIG_DIR" to private	Configuration.CONFIG_DIR	org.ucdetector.analyzeMarkerVisibilityPrivate	
it.d4nguard.comicsimporter.Configuration.COMICS_IMPORTER_PROPERTIES(Configuration.java:28)	Change visibility of Constant "Configuration.COMICS_IMPORTER_PROPERTIES" to private	Configuration.COMICS_IMPORTER_PROPERTIES	org.ucdetector.analyzeMarkerVisibilityPrivate	
it.d4nguard.comicsimporter.exceptions.PersistorException.PersistorException(PersistorException.java:14)	Constructor "PersistorException.PersistorException(String)" has 0 references	PersistorException.PersistorException(String)	org.ucdetector.analyzeMarkerReference	
it.d4nguard.comicsimporter.exceptions.PersistorException.PersistorException(PersistorException.java:24)	Constructor "PersistorException.PersistorException(String,Throwable)" has 0 references	PersistorException.PersistorException(String,Throwable)	org.ucdetector.analyzeMarkerReference	
it.d4nguard.comicsimporter.exceptions.ComicsParseException.ComicsParseException(ComicsParseException.java:11)	Constructor "ComicsParseException.ComicsParseException(String)" has 0 references	ComicsParseException.ComicsParseException(String)	org.ucdetector.analyzeMarkerReference	
it.d4nguard.comicsimporter.exceptions.ComicsParseException.ComicsParseException(ComicsParseException.java:16)	Constructor "ComicsParseException.ComicsParseException(String,Throwable)" has 0 references	ComicsParseException.ComicsParseException(String,Throwable)	org.ucdetector.analyzeMarkerReference	
it.d4nguard.comicsimporter.parsers.AbstractFeedParser.<init>(AbstractFeedParser.java:9)	Change visibility of Class "AbstractFeedParser" to default - May cause compile errors!	AbstractFeedParser	org.ucdetector.analyzeMarkerVisibilityDefault	
it.d4nguard.comicsimporter.parsers.AbstractFeedParser.getFeedContent(AbstractFeedParser.java:11)	Change visibility of Method "AbstractFeedParser.getFeedContent(String)" to default	AbstractFeedParser.getFeedContent(String)	org.ucdetector.analyzeMarkerVisibilityDefault	
it.d4nguard.comicsimporter.parsers.JPOPFeedParser.<init>(JPOPFeedParser.java:25)	Class "JPOPFeedParser" has 0 references	JPOPFeedParser	org.ucdetector.analyzeMarkerReference	
it.d4nguard.comicsimporter.parsers.PlanetMangaParser.<init>(PlanetMangaParser.java:31)	Class "PlanetMangaParser" has 0 references	PlanetMangaParser	org.ucdetector.analyzeMarkerReference	
it.d4nguard.comicsimporter.parsers.ParserFactory.getAll(ParserFactory.java:18)	Change visibility of Method "ParserFactory.getAll(Properties,Collection<Class<? extends ComicsSourceParser>>)" to private	ParserFactory.getAll(Properties,Collection<Class<? extends ComicsSourceParser>>)	org.ucdetector.analyzeMarkerVisibilityPrivate	
it.d4nguard.comicsimporter.parsers.ParserFactory.getFqn(ParserFactory.java:91)	Change visibility of Method "ParserFactory.getFqn(Class<?>)" to private	ParserFactory.getFqn(Class<?>)	org.ucdetector.analyzeMarkerVisibilityPrivate	
